;Setname;Set;Main;Second
1162;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Geschichte Afrikas;dnb:wv:reiheA:sg960;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Geschichte Afrikas
1163;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Geschichte Nordamerikas;dnb:wv:reiheA:sg970;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Geschichte Nordamerikas
1164;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Geschichte SÅdamerikas;dnb:wv:reiheA:sg980;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Geschichte SÅdamerikas
1165;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Geschichte der Åbrigen Welt;dnb:wv:reiheA:sg990;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Geschichte der Åbrigen Welt
1166;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Belletristik;dnb:wv:reiheA:sgB;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Belletristik
1167;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Kinder- und Jugendliteratur;dnb:wv:reiheA:sgK;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Kinder- und Jugendliteratur
1168;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - SchulbÅcher;dnb:wv:reiheA:sgS;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;SchulbÅcher
1169;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Abgeschlossene Verîffentlichungen;dnb:wv:reiheA:sgY;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Abgeschlossene Verîffentlichungen
1170;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - Berichtigungen;dnb:wv:reiheA:sgZ;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;Berichtigungen
1171;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels - BestandssÑtze;dnb:wv:reiheA:holdings;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen des Verlagsbuchhandels;BestandssÑtze
1172;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;dnb:wv:reiheB;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels
1173;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Allgemeines, Informationswissenschaft;dnb:wv:reiheB:sg0;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Allgemeines, Informationswissenschaft
1174;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Allgemeines, Wissenschaft;dnb:wv:reiheB:sg000;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Allgemeines, Wissenschaft
1175;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Informatik;dnb:wv:reiheB:sg004;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Informatik
1176;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Bibliografien;dnb:wv:reiheB:sg010;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Bibliografien
1177;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Bibliotheks- und Informationswissenschaft;dnb:wv:reiheB:sg020;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Bibliotheks- und Informationswissenschaft
1178;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - EnzyklopÑdien;dnb:wv:reiheB:sg030;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;EnzyklopÑdien
1179;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Zeitschriften, fortlaufende Sammelwerke;dnb:wv:reiheB:sg050;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Zeitschriften, fortlaufende Sammelwerke
1180;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Organisationen, Museumswissenschaft;dnb:wv:reiheB:sg060;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Organisationen, Museumswissenschaft
1181;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Nachrichtenmedien, Journalismus, Verlagswesen;dnb:wv:reiheB:sg070;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Nachrichtenmedien, Journalismus, Verlagswesen
1182;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Allgemeine Sammelwerke;dnb:wv:reiheB:sg080;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Allgemeine Sammelwerke
1183;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Handschriften, seltene BÅcher;dnb:wv:reiheB:sg090;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Handschriften, seltene BÅcher
1184;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Philosphie und Psychologie;dnb:wv:reiheB:sg1;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Philosphie und Psychologie
1185;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Philosophie;dnb:wv:reiheB:sg100;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Philosophie
1186;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Parapsychologie, Okkultismus;dnb:wv:reiheB:sg130;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Parapsychologie, Okkultismus
1187;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Psychologie;dnb:wv:reiheB:sg150;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Psychologie
1188;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Religion;dnb:wv:reiheB:sg2;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Religion
1189;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Religion, Religionsphilosophie;dnb:wv:reiheB:sg200;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Religion, Religionsphilosophie
1190;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Bibel;dnb:wv:reiheB:sg220;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Bibel
1191;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Theologie, Christentum;dnb:wv:reiheB:sg230;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Theologie, Christentum
1192;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Andere Religionen;dnb:wv:reiheB:sg290;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Andere Religionen
1193;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Sozialwissenschaften;dnb:wv:reiheB:sg3;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Sozialwissenschaften
1194;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Sozialwissenschaften, Soziologie;dnb:wv:reiheB:sg300;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Sozialwissenschaften, Soziologie
1195;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Statistik;dnb:wv:reiheB:sg310;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Statistik
1196;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Politik;dnb:wv:reiheB:sg320;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Politik
1197;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Wirtschaft, Management;dnb:wv:reiheB:sg330;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Wirtschaft, Management
1198;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - NatÅrliche Ressourcen, Energie und Umwelt;dnb:wv:reiheB:sg333.7;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;NatÅrliche Ressourcen, Energie und Umwelt
1199;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Recht;dnb:wv:reiheB:sg340;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Recht
1200;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - ôffentliche Verwaltung;dnb:wv:reiheB:sg350;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;ôffentliche Verwaltung
1201;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - MilitÑr;dnb:wv:reiheB:sg355;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;MilitÑr
1202;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Soziale Probleme, Sozialarbeit;dnb:wv:reiheB:sg360;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Soziale Probleme, Sozialarbeit
1203;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Erziehung, Schul- und Bildungswesen;dnb:wv:reiheB:sg370;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Erziehung, Schul- und Bildungswesen
1204;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Handel, Kommunikation, Verkehr;dnb:wv:reiheB:sg380;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Handel, Kommunikation, Verkehr
1205;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Ethnologie;dnb:wv:reiheB:sg390;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Ethnologie
1206;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Literatur und Sprache;dnb:wv:reiheB:sg4;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Literatur und Sprache
1207;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Sprache, Linguistik;dnb:wv:reiheB:sg400;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Sprache, Linguistik
1208;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Englisch;dnb:wv:reiheB:sg420;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Englisch
1209;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Deutsch;dnb:wv:reiheB:sg430;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Deutsch
1210;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Andere germanische Sprachen;dnb:wv:reiheB:sg439;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Andere germanische Sprachen
1211;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Franzîsisch, romanische Sprachen allgemein;dnb:wv:reiheB:sg440;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Franzîsisch, romanische Sprachen allgemein
1212;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Italienisch, RumÑnisch, RÑtoromanisch;dnb:wv:reiheB:sg450;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Italienisch, RumÑnisch, RÑtoromanisch
1213;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Spanisch, Portugiesisch;dnb:wv:reiheB:sg460;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Spanisch, Portugiesisch
1214;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Latein;dnb:wv:reiheB:sg470;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Latein
1215;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Griechisch;dnb:wv:reiheB:sg480;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Griechisch
1216;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Andere Sprachen;dnb:wv:reiheB:sg490;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Andere Sprachen
1217;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Slawische Sprachen;dnb:wv:reiheB:sg491.8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Slawische Sprachen
1218;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Naturwissenschaften und Mathematik;dnb:wv:reiheB:sg5;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Naturwissenschaften und Mathematik
1219;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Naturwissenschaften;dnb:wv:reiheB:sg500;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Naturwissenschaften
1220;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Mathematik;dnb:wv:reiheB:sg510;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Mathematik
1221;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Astronomie, Kartographie;dnb:wv:reiheB:sg520;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Astronomie, Kartographie
1222;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Physik;dnb:wv:reiheB:sg530;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Physik
1223;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Chemie;dnb:wv:reiheB:sg540;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Chemie
1224;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geowissenschaften;dnb:wv:reiheB:sg550;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geowissenschaften
1225;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - PalÑontologie;dnb:wv:reiheB:sg560;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;PalÑontologie
1226;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Biowissenschaften, Biologie;dnb:wv:reiheB:sg570;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Biowissenschaften, Biologie
1227;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Pflanzen (Botanik);dnb:wv:reiheB:sg580;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Pflanzen (Botanik)
1228;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Tiere (Zoologie);dnb:wv:reiheB:sg590;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Tiere (Zoologie)
1229;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Technik, Medizin, angewandte Wissenschaften;dnb:wv:reiheB:sg6;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Technik, Medizin, angewandte Wissenschaften
1230;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Technik;dnb:wv:reiheB:sg600;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Technik
1231;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Medizin, Gesundheit;dnb:wv:reiheB:sg610;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Medizin, Gesundheit
1232;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Ingenieurwissenschaften;dnb:wv:reiheB:sg620;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Ingenieurwissenschaften
1233;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Elektrotechnik, Elektronik;dnb:wv:reiheB:sg621.3;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Elektrotechnik, Elektronik
1234;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Ingenieurbau und Umwelttechnik;dnb:wv:reiheB:sg624;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Ingenieurbau und Umwelttechnik
1235;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Landwirtschaft, VeterinÑrmedizin;dnb:wv:reiheB:sg630;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Landwirtschaft, VeterinÑrmedizin
1236;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Hauswirtschaft;dnb:wv:reiheB:sg640;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Hauswirtschaft
1237;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Management;dnb:wv:reiheB:sg650;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Management
1238;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Technische Chemie;dnb:wv:reiheB:sg660;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Technische Chemie
1239;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Industrielle Fertigung;dnb:wv:reiheB:sg670;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Industrielle Fertigung
1240;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Hausbau, Bauhandwerk;dnb:wv:reiheB:sg690;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Hausbau, Bauhandwerk
1241;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - KÅnste und Unterhaltung;dnb:wv:reiheB:sg7;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;KÅnste und Unterhaltung
1242;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - KÅnste, Bildende Kunst allgemein;dnb:wv:reiheB:sg700;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;KÅnste, Bildende Kunst allgemein
1243;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Landschaftsgestaltung, Raumplanung;dnb:wv:reiheB:sg710;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Landschaftsgestaltung, Raumplanung
